Monthly Change Average,Total Volume,Volatility
0.062124279713480945,5879722702,2.3084840404073264
0.15386595859214017,5175838332,2.332766909458563
0.12836817186953592,4845217573,1.8615615719195873
-0.008246409371000504,4999563031,1.834483059836642
0.30277443306891993,4895912089,2.1015748985751417
0.014536799462247653,5012396371,2.005196766143633
0.07349448715478048,4925137333,1.8956107816964762
0.11627184371065839,4653992107,1.9821100756459094
-0.047686095906420874,4947586357,1.9747540989365215
0.04763300795843811,5173213216,2.1015930030511436
-0.049944376913532804,4648780047,2.1960570580737464
-0.019895605576888086,4442954061,2.1265075114691507
