Monthly Change Average,Total Volume,Volatility
0.09986772335729395,5879722702,2.3084840404073277
0.2081909455086901,5175838332,2.3327669094585652
0.13134871560220956,4845217573,1.8615615719195888
-0.00343636170695838,4999563031,1.834483059836641
0.405677288991378,4895912089,2.1015748985751412
-0.02135254293480184,5012396371,2.005196766143633
0.23246258158055594,4925137333,1.8956107816964787
0.12663193520364688,4653992107,1.9821100756459127
0.008870320684509372,4947586357,1.974754098936524
0.18613254394810327,5173213216,2.1015930030511436
0.032914441606289244,4648780047,2.1960570580737464
0.04792863582434866,4442954061,2.126507511469152
