Monthly Change Average,Total Volume,Volatility
-0.08692595467014731,13851024031,2.331672897521774
0.04822848670658948,10992995674,2.0293251853367895
-0.0017927472708649946,10587843958,1.7470695638308442
-0.024447467710277924,11853828679,2.067219878753809
0.10476544037009257,10320013772,1.7059068538603648
-0.05136325885516773,10625258022,1.739322388485276
0.10850585868309895,11915337375,1.775336965539718
0.01456424815007633,11164930823,1.730750313757559
0.05188513936453035,12476434499,1.7867171772058235
0.10284127100277644,12709288791,1.8554318704498256
0.03225461889768449,9972969090,1.7933277232568638
-0.07094249279002884,10385530108,1.8042561211624422
