Monthly Change Average,Total Volume,Volatility
-0.21017191690126044,20989138906,2.0024406759406443
0.1098149814535064,19396699437,1.8561512767076027
0.07689281248967146,19557785518,1.7073372414799157
0.04901618810257718,17372554044,1.6932568605429774
0.10631095587730498,15346339305,1.5326443967612273
0.02463142056778911,16484687792,1.606644773224384
0.1422705459933741,15198798474,1.3565434200094542
-0.04539978629830745,14151885203,1.4941235938890212
-0.006351394098875674,14834387913,1.5956379824894056
0.15450225339681065,15993059539,1.5912253936821115
0.30236320715984816,14739193675,1.4886277113472417
0.07938425236638603,15249368375,1.6091300460815565
