Date,Open,High,Low,Close,Adj Close,Volume,Change
12/29/2017,2689.149902,2692.120117,2673.610107,2673.610107,2673.610107,2443490000,-0.005778702
12/28/2017,2686.100098,2687.659912,2682.689941,2687.540039,2687.540039,2153330000,0.000536071
12/27/2017,2682.100098,2685.639893,2678.909912,2682.620117,2682.620117,2202080000,0.000193885
12/26/2017,2679.090088,2682.73999,2677.959961,2680.5,2680.5,1968780000,0.000526265
12/22/2017,2684.219971,2685.350098,2678.129883,2683.340088,2683.340088,2399830000,-0.000327798
12/21/2017,2683.02002,2692.639893,2682.399902,2684.570068,2684.570068,3273390000,0.000577725
12/20/2017,2688.179932,2691.01001,2676.110107,2679.25,2679.25,3241030000,-0.003321925
12/19/2017,2692.709961,2694.439941,2680.73999,2681.469971,2681.469971,3368590000,-0.00417423
12/18/2017,2685.919922,2694.969971,2685.919922,2690.159912,2690.159912,3724660000,0.001578599
12/15/2017,2660.629883,2679.629883,2659.139893,2675.810059,2675.810059,5723920000,0.005705482
12/14/2017,2665.870117,2668.090088,2652.01001,2652.01001,2652.01001,3430030000,-0.005199093
12/13/2017,2667.590088,2671.879883,2662.850098,2662.850098,2662.850098,3542370000,-0.001776881
12/12/2017,2661.72998,2669.719971,2659.780029,2664.110107,2664.110107,3555680000,0.000894203
12/11/2017,2652.189941,2660.330078,2651.469971,2659.98999,2659.98999,3091950000,0.002940984
12/8/2017,2646.209961,2651.649902,2644.100098,2651.5,2651.5,3106150000,0.0019991
12/7/2017,2628.379883,2640.98999,2626.530029,2636.97998,2636.97998,3292400000,0.003272014
12/6/2017,2626.23999,2634.409912,2624.75,2629.27002,2629.27002,3229000000,0.001153752
12/5/2017,2639.780029,2648.719971,2627.72998,2629.570068,2629.570068,3539040000,-0.003867732
12/4/2017,2657.189941,2665.189941,2639.030029,2639.439941,2639.439941,4023150000,-0.006679989
12/1/2017,2645.100098,2650.620117,2605.52002,2642.219971,2642.219971,3942320000,-0.001088854
11/30/2017,2633.929932,2657.73999,2633.929932,2647.580078,2647.580078,4938490000,0.005182426
11/29/2017,2627.820068,2634.889893,2620.320068,2626.070068,2626.070068,4078280000,-0.000665951
