Monthly Change Average,Total Volume,Volatility
-0.05721603211764703,921875670000,1.4074017019073781
0.05065084384905654,847030650000,1.2488557797032558
0.11781800962916672,991021090000,1.2962640225799087
0.10627983475438597,917880260000,1.0978330778265986
0.020775705948275856,937605100000,1.1750330705655267
-0.06359136466101697,931701250000,1.2221878633139474
0.07280405955364808,896189630000,1.1383005113325315
-0.011024570041152265,911935350000,1.3463950304295815
0.0020442392444444575,918751060000,1.399306488113497
0.028010121239669377,1008883400000,1.6977282838803354
0.036764808098214294,894449110000,1.4854241319791974
0.024895761373390578,859190940000,1.2045226652755043
