Monthly Change Average,Total Volume,Volatility
0.0734910346402981,10372493231,2.325916108311899
0.13277985380565185,8759804574,1.9912530777008584
0.0695445147350951,8544454358,1.7063547933898495
-0.04992164406394891,9216970551,1.9667689999638267
0.18927300280454182,7770862072,1.6166879493954074
-0.23865374145181617,8485470222,1.6583163678624673
0.32394251726781514,8962761375,1.7233934139016784
0.053349384254951615,8370194023,1.692360160023285
0.03733077204728494,9232492499,1.7395337661529953
0.2708323231787656,9243770591,1.7617036573842295
0.06281778239490261,7521945490,1.7367392518489722
-0.03885912991137965,7666025008,1.7877210487582333
