Monthly Change Average,Total Volume,Volatility
-0.19671391374104777,20989138906,2.002440675940645
0.0723042924862171,19396699437,1.8561512767076027
0.0010654220209181295,19557785518,1.7073372414799157
0.015222922887886514,17372554044,1.6932568605429774
0.11179859856332024,15346339305,1.5326443967612278
0.006060427806359741,16484687792,1.606644773224384
0.00966570153171542,15198798474,1.3565434200094542
-0.024640645819804668,14151885203,1.4941235938890216
-0.04552669647258688,14834387913,1.5956379824894056
0.09166848398662647,15993059539,1.5912253936821115
0.24355336765853244,14739193675,1.4886277113472417
-0.0377170467380104,15249368375,1.609130046081557
